quote,author,book,parPage,ID,tags,yellowParts,stars,favorite,dateinsert,original,fileUrl,vydal,folder,sourceUrl,
"""✨
♥️ Je málo lidí, hodně málo lidí, co našli odpověď na záhadu Života a světa. 
Ale ty lidi pro vás nemůžou nic udělat, dokud nepřijdete na TO ČÍM JSTE. 

Kolik z vás věří že jste se narodili? . . 
A to je první chyba kterou děláte. ... 

Otázkou tedy je Čím jste byli než 'jste se narodili'. Kde jste byli? . . 

Jen vy můžete zodpovědět Tu otázku. 

Můžu vám říct cokoli, ale proč byste Mi měli věřit? 

♥️ Robert Adams 🙇‍♂️

Satsang audio nahrávka; 

https://www.robert-adams.info/1993-02-21.mp3""",Adams Robert,,,2,*,,,,2023-01-29.,,,,,,
"🔥 

     Nemůžete srovnávat SATSANG / BYTÍ V PŘÍTOMNOSTI PRAVDY ~ s koukáním na televizi, nevědomým/ duchem nepřítomným čuměním na  váš telefon, chozením do hospody nebo do kina, nebo s čímkoli jiným. 

Když dáte Satsang do stejný kategorie budete úplně zmatený a nebudete dokonce vědět ani co chcete. 

Pokud vás SKUTEČNĚ zajímá váš DUCHOVNÍ ŽIVOT, pokud si opravdu přejete PROBUDIT SE / Překonat iluzi těla a světa ~ musíte To dát na první místo ve svým životě. . . 

. . Protože kam soustředíte svojí ŽIVOTNÍ SÍLU, svou DUŠI A SRDCE ~ tím se nakonec stanete. . . 

♥️ Robert Adams 🙇‍♂️

Satsang audio nahrávka v odkazu:

https://www.robert-adams.info/1991-03-03.mp3

Čast 1.",Adams Robert,,,3,,,,,2023-03-03.,,,,,fb:Paul Brunton - láska k moudrosti,
"První, co byste měli pochopit je, že nikdy nepřijde chvíle, kdy zmizíte nebo zemřete, protože ani nikdy nebyla chvíle, kdy jste se narodili. Vždy jste existovali a existujete jako Vědomí.
Robert Adams",Adams Robert,,,4,,,,,2023-03-04.,,,,,fb:Paul Brunton - láska k moudrosti,
"Jediné břímě, které jste kdy měli, je vaše mysl.
Robert Adams",Adams Robert,,,5,*#brime# mysl,,,,2023-03-18.,,,,,fb:Paul Brunton - láska k moudrosti,
"✨ 
🔥 POČÁTEK MOUDROSTI ♥️ 

     Je příběh o Mudrci* který seděl na kraji cesty, s očima zavřenýma a hlavou opřenou o kolena, ponořený do Božství. Přišel za ním mladík a řekl, “Mistře, mohu být vašim učedníkem? Mohl by jste mě učit?” A Mudrc říká, “Nemám učedníky a nedávám učení. Ale dovolím ti aby ses posadil vedle mě na den.” Ten mladý muž se posadil a pozoroval.

     Celý den lidé s rozličnou vírou, náboženstvím, přicházeli k Mudrci, ptali se ho otázky, chtěli požehnání, chtěli uzdravování, chtěli předvést různé kouzelné triky. Nějaká paní přišla aby vdala dceru. Chtěla Murdcovo požehnání aby našla vhodného ženicha. Jiný zase přišel aby byl úspěšný v práci. A tak to šlo celý den. Mudrc vůbec neotevřel oči, ani neodpověděl. Nedělal vůbec nic. Asi ve čtyři hodiny odpoledne, žebrák přišel s uzlíčkem na ramenou, byl rozcuchaný a oblečený v hadrech. Šel k těm dvěma a zeptal se, “Mohli by jste mi prosím ukázat cestu do města?” A ten mudrc otevřel oči, usmál se, vyskočil a řekl, “Jistě, následuj mě.” Dovedl ho čtvrt cesty, nesl za něj jeho  zavazadlo, a ukázal cestu do města, a pak šel zpět a posadil se. 

     Ten mladý společník z toho byl úplně vedle. Zeptal se Mudrce, “Nechápu to, Mistře, co jste udělal. Všichni ty lidé za vámi přišli, právníci, soudci, rozliční lidé různých náboženství, ptají se vás hluboké, dalekosáhlé otázky, a vy jste jim neodpověděl. Ale ten žebrák vás rozesmál, a otevřel vaše oči, a vy jste mu ukázal cestu. Mohl by jste to prosím vysvětlit?” Mudrc říká: “Ten žebrák je jediný upřímný člověk který k nám dnes přišel. Byl svůj. Věděl co chce a kam se chce dostat.” 
     Co to znamená je toto. Většina lidí jsou pokrytci. Chtějí učení pro svůj vlastní zisk. Nemyslí na Absolutno, Boha. Přemýšlejí co jim může to učení přinést materiálně. Chtějí odstranit problémy, změnit jejich životní styl, získat materiální bohatství, zbavit se nemoci, a tak dál. 

    Teď ~ to všechno jsou odůvodněné touhy, ale nemají naprosto nic společného se Sebe~poznáním. SEBE~POZNÁNÍ je vaše pravá podstata. TO JE ČÍM JSTE. TO nemá absolutně nic do činění s vaším tělem. To nemá nic do činění s vaší myslí. To nemá nic do činění s vašimi poměry. Takže ten kdo je SEBE~REALIZOVANÝM není tělem. Tělo se nikdy nemůže stát Sebe~realizovaným. Mysl nemůže nikdy poznat OSVÍCENÍ. Lidé stále věří, jedno kolikrát to říkám, že je to mysl která se stane osvícenou, že tělo nabyde na vědomí a stane se osvobozeným. NIC NEMŮŽE BÝT DÁL OD PRAVDY. Nejste tělo. Nemáte tělo. Nemáte mysl. 

    Se všema těma náboženstvíma a všema našema duchovníma cvičeníma, si myslíme že se chceme stát tímhle nebo tamtím. Chceme mír mysli. Chceme bohatství. Chceme všechny tyhle věci. ALE CO VE SKUTEČNOSTI CHCEME JE ÚPLNÁ SVOBODA. 

❤Robert Adams 
z knihy TICHO SRDCE 
~~~~~
*Murdc/Vědma je posvátné slovo.

✨ Je původní
Zdroj Světla(Vědomí) kterým
Vše je viděno.
Ti kteří Poznali,
ví že 
Jsou Tím.
❤️ Wu’hsin

🔥
♾
❤
🙇",Adams Robert,,,6,,,,,2023-04-10.,,,,,fb:Paul Brunton - láska k moudrosti,
"✨
Kdyby se 'tvoje' tělo zdálo umírat na nemoc jako rakovina, a rozpadat se, to všechno je pro Tebe jen vtip, je to směšný. Protože Si Uvědomuješ že nemáš co do činění s tělem. Protože Osvícený Bytí (Bytost) Ví že ve Skutečnosti není nic takovýho  jako 'smrt' protože není nic takovýho jako 'život'. 

♥️ Robert Adams 

#satsang audio recording; 

https://www.robert-adams.info/1991-08-08.mp3

🔥
♥️ Yešhua řekl:  Kdokoliv najde význam těchto rčení nikdy neochutná smrt.

 Kdo hledá ať nepřestává hledat dokud nenajde.
A když najde bude zděšen.
A když je zděšen, bude žasnout.
A bude kralovat nade Vším.”

🙇‍♂️
http://khazarzar.skeptik.net/books/nhl.pdf",Adams Robert,,,7,smrt#kdo hleda#neprestat,,,,2023-04-13.,,,,,fb:Paul Brunton - láska k moudrosti,
"Když se vnitřně ztiším a  umožním mysli vyprázdnit se od myšlenek, pozoruji ji pak v její činnosti, bez reakcí a všímám si něčeho zajímavého; všímám si, že se cítím šťastnější, silnější a naplněný mírem.
Robert Adams",Adams Robert,,,8,ztiseni,,,,2023-05-01.,,,,,fb:Paul Brunton - láska k moudrosti,
"„Trochu čtení...zase....😁
Musíte si pamatovat, že tento život, ve kterém se právě teď objevujete, je jen zlomek sekundy věčnosti. Věříte tak svému lidství, že si myslíte, že žijete dlouho a jste důležití a záleží na tom, co děláte. Nevidíš, že tvůj život je jen zlomek vteřiny věčnosti.
Je to jako tento příklad klíčové dírky, který vám vždy dávám. Díváte se klíčovou dírkou a vidíte, že se děje určitá situace a to je vše, co vidíte. Reagujete tedy na situaci, kterou vidíte klíčovou dírkou. Ale kdybyste viděli celý obrázek, kdybyste byli schopni otevřít dveře, viděli byste skutečně, co se děje. Tak je to s tímto tělem v tomto věku. Váš čas, který máte v tomto konkrétním těle, je jako dívat se klíčovou dírkou. Vidíte jen částečně, co se děje. Pokud tomu tedy rozumíte a víte, o čem mluvím, proč byste reagoval?
Podíváte se klíčovou dírkou a uvidíte, jak někdo někoho bodá. A vy se vzrušíte, """"Podívejte se, co se děje. Dochází k vraždě."" ""To je vše, co vidíš. Přesto, když otevřete dveře dokořán, uvidíte, že v minulém životě bodaný člověk bodl toho, kdo bodal. Co jde kolem, přichází kolem. A pokud byste pokračovali v hledání, viděli byste, že jak lidé, bodaný, tak ten, kdo bodá, se nakonec smějí, tzv. A nikdo nezabil a nikdo nebyl zabit. Prostě se to nestalo.
Dalším dobrým příkladem toho je, když vidíte film. Stává se to samé. Existuje začátek, střed a konec. Ale vidíte celý film, vidíte začátek, střed a konec. Přesto je váš život jako uprostřed filmu. Neznáš začátek. Začátek není, když se narodíte. To není začátek. Konec není, když opustíte své tělo takříkajíc. Život je kontinuum. Nikdy nebyl začátek, není střed a není konec.
Robert Adams ☺️😘""",Adams Robert,,,9,,,,,2023-06-12.,,,,,fb:Paul Brunton - láska k moudrosti,
"Robert Adams mluví:
Během týdne jsem obdržel mnoho hovorů a hned, jak vám to vysvětlím, uvidíte, proč se usmívám. Zrovna dnes ráno mi volal někdo z Texasu, s kým si dopisuji. A on řekl: ""Roberte, četl jsem tvůj přepis měsíc, jak jsi řekl, a teď jsem osvícen."" Tak jsem řekl: ""To je úžasné, co tě vede k takovému uvažování?"" Řekl: ""Přestal jsem bojovat se svou ženou, cítím se klidnější a je mi na světě fuk. Ale mám otázku. Co teď můžu dělat?"" ""Co můžu říct?""

Dnes více než kdy jindy chodí mnoho lidí, kteří tvrdí, že jsou osvícení. Je mi to celkem jedno, ale je to zábava. To je zajímavé. Za prvé, co znamená slovo osvícení? Nemluvím o slovníkové definici. Co pro cestu Džňány znamená osvícení? Odpověď zní, že takové slovo neexistuje. Nikdo nesvítí. Není žádné tělo, není žádné já, není žádné já, není nic, co by se mohlo stát nebo být osvíceno. Slovo osvícení používají ajnani, studenti. Absolutní realita, vědomí bez volby, sat-čit-ánanda, parabrahman, jsou slova, která neexistují, kromě studenta, vysvětlující, že existuje stav za tím, co se nazývá normální, stav naprosté transcendence. A my tomu dáváme jméno, osvícení.

Když k tomu skutečně dojde nebo se u člověka projeví, jeho já bylo totálně zničeno, totálně zničeno. Já už neexistuje. A pro tuto bytost neexistuje absolutně nikdo, kdo by se stal osvíceným. Tato bytost spočívá ve své pravé přirozenosti, v nicotě, v absolutní nicotě. Nikdo se nemůže stát osvíceným. Nikdo nemůže být svobodný, protože ten, kdo si myslí, že může být svobodný, ani neexistuje. neexistuješ ty Neexistuje žádná osoba. Neexistuje člověk, který by byl jeden den člověkem a druhý den byl osvobozen. Existuje pouze osvobozená Bytost a tou jste vy. Neexistuje žádné vy, jak vypadáte. Vaše zdání, že si myslíte, že jste, je falešné.",Adams Robert,,,11,osviceni?#falesna osoba,,,,2023-06-12.,,,,,fb:Paul Brunton - láska k moudrosti,
"""Většina lidí má mylný dojem, že když se jejich myšlenky zastaví, stanou se zeleninou. Naopak se stanete spontánní. Budete myslet jen tolik, abyste se postarali o daný okamžik a o všechno bude postaráno za vás."" Zkuste to. Vždy si myslíme, že jsme velmi důležití, a musíme myslet. Pamatujte jen na klišé 'Myslím, tedy jsem.' Mělo by to být ‚já jsem, proto nemusím myslet‘.“

~ Robert Adams

…

Když se probudíte, už nebudete reagovat na televizi, na noviny, na lidi, na to, co říkají nebo si myslí.
Až se probudíte, budete vědět, že je vše v pořádku!

~ Robert Adams",Adams Robert,,,12,,,,,2023-06-14.,,,,,fb:Rober Adams,
