quote,author,book,parPage,ID,tags,yellowParts,stars,favorite,dateinsert,sourceUrl,title,autorKniha,content,fileUrl,autor,vydal,folder,title,,,,,,,,,,,,
"Zdá-li se vám, že vám Bůh dal nějakou ctnost, považujte ji za nezasloužený dar, který vám může být opět vzat, jak se často stává ze zvláštní Boží prozřetelnosti.Nikdy jste to nezakusily, sestry? Já ano!Někdy se mi zdávalo, že na ničem nelpím, a když jsem byla vystavena zkoušce, dokázala jsem, že tomu tak opravdu je. Jindy naopak jsem cítila, že na něčem tolik lpím, že jsem se již nepoznávala, a šlo dokonce o věci, kterým jsem se den předtím vysmívala. (…)Stejně se mi někdy zdávalo, že si nevšímám pomluv a reptání proti sobě: a leckdy jsem to také dokázala, takže jsem si v tom libovala. Avšak v jiných dnech stačilo jediné slůvko, abych upadla do takového trápení, že jsem toužila zemřít, neboť se mi zdálo, že mě všechno unavuje.A tyto proměny nezakouším jenom já… Vím, že je tomu tak.",Terezie od Ježíše,,,2,citlivost# ego# lpeni,,,,2023-03-12.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/51-terezie-z-avily/1661-nezaslouzeny-dar-ktery-vam-muze-byt-opet-vzat,,"(Terezie od Ježíše, Cesta k dokonalosti XXXVIII,5)",,,,,,,,,,,,,,,,,,
"Teď, dokud nám Bůh nedá dobro na nebi, se zabývejte cvičením ve ctnostech umrtvování a trpělivosti se snahou stávat se v utrpení trochu podobnou tomuto našemu velkému Bohu, poníženému a ukřižovanému, vždyť není-li tento život Jeho napodobováním, není dobrý.",Terezie od Ježíše,,,3,,,,,2023-03-12.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/55-jan-od-krize/1665-neni-li-tento-zivot-jeho-napodobovanim-neni-dobry,,"(Jan od Kříže, dopis matce Anně od Ježíše, 6. července 1591)",,,,,,,,,,,,,,,,,,
"Sotva se někdo dotkne naší cti, nedokážeme to snést, zdá se nám, že si to nesmíme dát líbit a říkáme hned: „Nejsme svaté“. Bůh chraň, sestry, abychom po nějakém méně dokonalém skutku říkaly: „Nejsme andělé, nejsme svaté“. I když opravdu nejsme takové, je dobré myslet, že s Boží pomocí a díky našemu úsilí se jimi můžeme stát. (…)Chtěla bych, aby mezi vámi převládala tato svatá smělost, jež nám dává růst v pokoře a uvádí do Boží přízně; On pomáhá velkodušným a nikomu nestraní.",Terezie od Ježíše,,,4,citlivost#ufnukanost#ego#cest,,,,2023-03-12.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/51-terezie-z-avily/1666-on-pomaha-velkodusnym-a-nikomu-nestrani,,"(Terezie od Ježíše, Cesta k dokonalosti XVI,11-12)",,,,,,,,,,,,,,,,,,
"Ach, Celino, jak je snadné líbit se Ježíši, uchvátit jeho srdce. Stačí jen milovat ho a neohlížet se na sebe, nezpytovat příliš své chyby… Tvá Terezie není v této chvíli na výšinách, ale Ježíš ji učí těžit ze všeho dobrého i špatného, co v sobě najde.",Terezie od Ježíše,,,5,sebekritika,,,,2023-03-12.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/52-terezie-z-lisieux/1239-tezit-ze-vseho-dobreho-i-spatneho,,"(Terezie od Dítěte Ježíše a Svaté Tváře, dopis 142, Celině, 6. července 1893)",,,,,,,,,,,,,,,,,,
"Ó, soucitný a láskyplný Pane mé duše! Říkáte také: „Pojďte ke mně všichni, kdo máte žízeň, a já vám dám napít“. Je tu velikánská potřeba vody… Vím už, můj Pane, podle Vaší dobroty, že ji poskytnete. Vy sám to slibujete. A Vaše slova nemohou zklamat.Slitujte se nad těmi, kteří nemají slitování sami se sebou! Když už je jejich neštěstí drží v takovém stavu, že k Vám nechtějí přijít, přijďte, můj Bože, Vy k nim! Já Vás o to prosím jejich jménem, a vím, že jakmile si porozumí a vzpamatují se a začnou Vás okoušet, tito mrtví budou vzkříšeni.Ó, živé prameny ran mého Boha, jak bohatě budete vždy vyvěrat k našemu ukojení žízně. A jak jistě bude procházet nástrahami tohoto ubohého života ten, kdo se bude snažit živit oním božským nápojem.",Terezie od Ježíše,,,6,,,,,2023-03-12.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/51-terezie-z-avily/1670-slitujte-se-nad-temi-kteri-nemaji-slitovani-sami-se-sebou,,"(Terezie od Ježíše, Zvolání duše k Bohu, 9,1.2; pracovní překlad Vojtěcha Kohuta OCD)",,,,,,,,,,,,,,,,,,
"Bděte nad svými vnitřními hnutími, zvláště nad těmi, jež se týkají různých výsad. Kéž nás Bůh pro své utrpení zbaví toho, abychom lpěly na výrazech jako: „já jsem starší“, „já mám více let“, „já jsem pracovala víc“, „s tou se zachází lépe než se mnou“. Každý, kdo chce být dokonalý, musí se na hony vyhýbat výrazům jako: „měl jsem pravdu“, „ukřivdili mi“, „nezasloužil jsem si, aby se tak se mnou jednalo“.Zapuďte takové myšlenky, sotvaže vás napadnou, neboť zabývat se jimi, či dokonce o nich mluvit, to je mor, příčina velkého zla. Vroucně proste Pána, aby vás vyléčil.",Terezie od Ježíše,,,7,*# ja jsem to# pocity# ego#ufnukanost#ocistovani #ocistovani#sit nazoru#ja jsem to#pocity#ego#naladovost,,,,2023-03-14.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/51-terezie-z-avily/1672-ja-jsem-to-je-mor,,"(Terezie od Ježíše, Cesta k dokonalosti XII,4; XIII,1)",,,karmel.cz,,,Já jsem... to je mor,,,,,,,,,,,,
"Řeknu vám, jak to dělám, když přijde malá únava: dívám se na Ukřižovaného, a když vidím, jak se on vydal za mne, zdá se mi, že já nemohu pro něho dělat méně než to, že vynaložím velké úsilí, vyčerpám se, abych mu trochu vrátila to, co on mi dal!",karmel.cz,,,8,,,,,2023-03-17.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/59-alzbeta-od-nejsvetejsi-trojice/1675-kdyz-prijde-mala-unava,,"(Alžběta od Trojice, dopis 156)",,,karmel.cz,,,Když přijde malá únava,,,,,,,,,,,,
"Zdá se mi, že mi Ježíš může prokázat milost, abych ho už neurážela, nebo abych se dopouštěla chyb, které ho neurážejí, ale jenom mě pokořují a posilují mou lásku.",karmel.cz,,,9,,,,,2023-03-18.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/52-terezie-z-lisieux/1676-chyby-ktere-posiluji-lasku,,"(Terezie od Dítěte Ježíše a Svaté Tváře, dopis 114, sestře Anežce od Ježíše, 3. září 1890)",,,karmel.cz,,,"Chyby, které posilují lásku",,,,,,,,,,,,
"Ó, Pane, Vy říkáte: „Pojďte ke mně všichni, kdo se namáháte a jste obtíženi, a já vás utěším“. Co víc chceme, Pane? Oč ještě prosíme? Co hledáme? Proč se světští lidé ztrácejí, ne-li proto, že hledají odpočinek? Ó, jak velká slepota, vždyť jej hledáme tam, kde je nemožné jej najít!Smilujte se, Stvořiteli, nad těmito svými tvory. Hleďte, že ani nechápeme, ani nevíme, po čem to toužíme, ani nedokážeme vystihnout to, oč prosíme. Pane, darujte nám světlo! Hleďte, že jej máme zapotřebí víc než slepý od narození, který toužil spatřit světlo a nemohl. Nyní, Pane, se už ani netouží vidět! Ó, jak nevyléčitelné zlo! Právě zde, můj Bože, se má prokázat vaše moc, zde vaše milosrdenství.Ó, jak drsnou věc to žádám, můj pravý Bože, abyste stál o ty, kdo o vás nestojí, abyste otevřel těm, kdo vás nevolají, abyste udělil zdraví tomu, kdo s chutí bývá nemocen, ba usiluje o nemoc!Vy říkáte, můj Pane, že přicházíte hledat hříšníky. Toto jsou skuteční hříšníci. Nehleďte na naši slepotu, můj Bože, nýbrž na onu mnohou krev, kterou prolil váš Syn za nás. Kéž zazáří vaše milosrdenství uprostřed tak rozšířené špatnosti. Hleďte, Pane, že jsme vaše dílo. Kéž nám pomůže vaše dobrota a milosrdenství.",Terezie od Ježíše,,,10,,,,,2023-03-18.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/51-terezie-z-avily/1677-zadam-abyste-udelil-zdravi-tomu-kdo-s-chuti-byva-nemocen-ba-usiluje-o-nemoc,,"(Terezie od Ježíše, Zvolání duše k Bohu, 8,2.3; pracovní překlad Vojtěcha Kohuta OCD)",,,karmel.cz,,,"Žádám, abyste udělil zdraví tomu, kdo usiluje o nemoc!",,,,,,,,,,,,
"Ó, Bože mé duše, jak máme vždy naspěch, abychom Vás urazili, a jak máte naspěch Vy, abyste nám odpustil! Ó, opravdový Příteli, jak špatně se Vám odplácí ten, kdo je Vaším zrádcem! Ó, opravdoví křesťané, pomozte plakat svému Bohu, a to nejen kvůli Lazarovi oněmi tak soucitnými slzami, nýbrž kvůli těm, kdo snad ani nebudou chtít být vzkříšeni, i kdyby je Jeho Majestát volal.Ó, mé Dobro, jak jste si dobře vědom vin, kterých jsem se dopustila proti Vám! Kéž už skončí, můj Pane, kéž skončí, jakož i viny všech ostatních. Probuďte k životu tyto mrtvé! Kéž je Vaše volání tak mocné, že i kdyby Vás neprosili o život, Vy jim jej přesto dejte.Ani Lazar Vás ostatně nežádal, abyste jej vzkřísil. Udělal jste to kvůli jedné hříšnici. Hle, tu je jiná, můj Bože, mnohem větší hříšnice. Kéž zazáří Vaše milosrdenství: navzdory své bídnosti Vás prosím za ty, kdo Vás o to prosit nechtějí…",Terezie od Ježíše,,,11,,,,,2023-03-25.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/51-terezie-z-avily/1685-prosim-za-ty-kdo-vas-prosit-nechteji,,"(Terezie od Ježíše, Zvolání duše k Bohu, 10,1.2.3; podle pracovního překladu Vojtěcha Kohuta OCD)",,,karmel.cz,,,"Prosím za ty, kdo Vás prosit nechtějí...",,,,,,,,,,,,
"K Ježíši Kristu běž,
má srdce nesmírné,
ať přijde, co přijde,
z ničeho neměj strach.

Pojď, kdo jsi bezmocný
v kříži a neštěstí;
když Bůh je poklad tvůj,
nic víc ti neschází.

(Terezie od Ježíše, úryvek z Nada te turbe v překladu Josefa Hrdličky)",Terezie od Ježíše,,,12,wuvej#*,,,,2023-03-27.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/51-terezie-z-avily/1687-at-prijde-co-prijde,,,,,karmel.cz,,,"Ať přijde, co přijde",,,,,,,,,,,,
"Podle mého názoru měřítkem ochoty snášet velký kříž nebo utrpení je láska: jestliže Ho milujeme hodně, budeme schopni i mnoho trpět, a naopak jen málo, milujeme-li Ho jen trochu, neboť odvaha mnoho nebo málo trpět závisí na lásce.",Terezie od Ježíše,,,13,,,,,2023-03-30.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/51-terezie-z-avily/1689-odvaha-mnoho-nebo-malo-trpet-zavisi-na-lasce,,"(Terezie od Ježíše, Cesta k dokonalosti XXXII,7)",,,karmel.cz,,,Odvaha mnoho nebo málo trpět závisí na lásce,,,,,,,,,,,,
"Milá matko,dovolte mi, prosím, nabídnout sebe samu Srdci Ježíšovu jako smírnou oběť za opravdový mír: aby se panství Antikrista, pokud je to možné, zhroutilo bez nové světové války a aby mohl být nastolen nový řád. Prosím o povolení ještě dnes, protože už odbíjí dvanáctá hodina. Vím, že já nejsem nic, ale tak to chce Ježíš a on k tomu v těchto dnech určitě povolá mnoho dalších.",karmel.cz,,,14,,,,,2023-04-01.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/56-terezie-benedikta-od-krize/1288-svata-terezie-benedikto-od-krize-oroduj-za-nas,,"(Terezie Benedikta od Kříže /1891–1942/, dopis převorce, Květná neděle, 26. března 1939)",,,karmel.cz,,,"Svatá Terezie Benedikto od Kříže, oroduj za nás!",,,,,,,,,,,,
"Tato Izaiášova slova: „Kdo uvěří našemu slovu… Je bez lesku, bez krásy…“ atd. utvořila celý základ mé oddanosti Svaté Tváři, ba lépe řečeno, základ celé mé zbožnosti. Také já jsem si přála být bez krásy, sama šlapat víno v lisu, neznámá všemu stvoření…",karmel.cz,,,15,,,,,2023-04-03.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/52-terezie-z-lisieux/1692-bez-lesku-bez-krasy,,"(Terezie od Dítěte Ježíše, Poslední rozhovory, 5. srpna 1897)",,,karmel.cz,,,"Bez lesku, bez krásy…",,,,,,,,,,,,
"Kdyby Vás postihla nějaká nechuť a mrzutost, vzpomeňte si na ukřižovaného Krista a mlčte.",karmel.cz,,,16,nenaladen#uklidnit,,,,2023-04-05.,http://www.karmel.cz/index.php/karmelitanska-spiritualita/texty-z-tradice/55-jan-od-krize/1694-vzpomente-si-na-ukrizovaneho-krista,,"(Jan od Kříže, korespondence, nedatovaný dopis jedné karmelitce)",,,karmel.cz,,,Vzpomeňte si na ukřižovaného Krista,,,,,,,,,,,,
